,Name,CAP,,Name,CAP,,Name,CAP,,Name,CAP,,Name,CAP,,Name,CAP
24,DGA12,0.502712,,Phoenixcruiser1,0.621687,,Lizmadhatter864,0.816204,,DrJudyA,0.717691,,LowenergyBen,0.306188,,JosephHorner,0.33423
25,jdf754,0.828754,,MaryMary0414,0.930754,,deltachild4,0.621687,,WillRasky,0.419722,,counselorbecky,0.810078,,nemerzain,0.226318
26,0_____D,0.475676,,citizenstewart,0.278725,,tentacle_pup,0.475676,,gingernell,0.796636,,LindaSFroiland,0.785221,,korbei_,0.278725
27,SamiBanatMN,0.252041,,Knight201701,0.819914,,russelltim151,0.705337,,Vicki00431234,0.553972,,PACEsConnection,0.419722,,2antsy,0.447946
28,jpsthevikingcpt,0.766876,,HaydenM1126,0.226318,,VashtiVale42,0.528866,,leeboythunder,0.797782,,Vicki00431234,0.553972,,anesam98,0.798989
29,KimSeeya45,0.819914,,lindalee77,0.738478,,Jreatsdung,0.391215,,ScottMathre,0.553972,,debette_goldry,0.816204,,LDPete,0.600488
30,JeffMRichter2,0.775988,,samijojo__,0.391215,,froshhawk,0.278725,,nycpaf,0.391215,,nonwashablegmer,0.226318,,dianne_olander,0.502712
31,AvergNJEnjoyer,0.278725,,j_herndon_pa,0.641418,,ZezeSwanson,0.824091,,ChrisCondo3,0.738478,,harriet87015606,0.306188,,GeorgeTirebite8,0.528866
32,JcarlblomJewel,0.226318,,DuhBen,0.226318,,jazzysenior1,0.793957,,DrAnnInStPaul,0.600488,,Sammie1863_,0.278725,,mrdunaganbailey,0.796108
33,ericwanderson,0.659646,,irvspanish,0.659646,,DeeDambrosia,0,,ebourquin10,0.362645,,___lor__,0.859506,,twaddlejoe,0.600488
34,egeogh,0.502712,,aperfectharmony,0,,BrendaJJustice7,0.833918,,EPfootballermom,0.278725,,amiejennifer,0,,Harvey01957,0.795728
35,JackieCraigMN,0.779581,,Jakeyin612,0.252041,,kester_lowers,0.796724,,mdb1958,0.775988,,pjkool,0.766876,,drrock2000,0.391215
36,mattwiels,0,,notabouthemoney,0.278725,,42Lives,0.775988,,LarelleTIff,0.600488,,Blue_wave_2024,0.502712,,are_bffs,0.306188
37,IndivisibleMN58,0.800879,,stoooooky,0.789229,,phidot2,0.600488,,nirmalakumari,0.553972,,PHILCP69,0.796108,,AngelInvestorOG,0.659646
38,MNDFL57,0.793957,,HRCMinnesota,0.747083,,BigBisdotdotdot,0.747083,,gar757,0.833918,,v2aggie2,0.807603,,AFSCME_65,0.600488
39,Bennett_R_Smith,0,,DumbHollywood,0.447946,,youvebeenskold,0.641418,,IndivisibleMN58,0.800879,,MnPhifer,0.738478,,SassyGma6,0.761187
40,OakCliffITGuy,0.785221,,MEStephenson3,0.771781,,Munin_2000,0.475676,,FranBeau501,0.796862,,HopkinsLAC,0.33423,,pat_wendleton,0.792031
41,JGill2014,0.447946,,bigblue_2024,0.72871,,v2aggie2,0.807603,,JeffMRichter2,0.775988,,MostlyMn,0.691579,,MNDFL57,0.793957
42,justjoshinyou13,0,,krist117,0.553972,,AnitaLaLouise,0.33423,,indivisiblewcmn,0.747083,,egarnerlevitt,0.226318,,lindahallberg20,0.907797
43,OldestN,0.391215,,minneapaulis,0.226318,,LisaFJohnson3,0.839586,,Isabellarowling,0.807603,,GDLCYouth,0.447946,,JeffMRichter2,0.775988
44,Mojo70351087,0.782635,,kirks_minivan,0.226318,,UnrestrictMNAct,0.705337,,katzinjammers,0.771781,,kabaokthao,0.475676,,IBT_320,0.475676
45,lmuhm22,0.33423,,MarshaGille,0.621687,,KdKittykat4ever,0.828754,,iloveMantown,0.621687,,jb4civilrights,0.80367,,Logan_Bratton,0.252041
46,SandyKAlano,0.797376,,VAffantranger,0.577886,,Examinwithme,0.691579,,Bogatyr2022,0.766876,,foreather,0.447946,,EdwardWigglesw1,0.278725
47,kasota_eaton,0.805478,,eeeezybreeeezy,0.475676,,finlyhapnd,0.362645,,arbach58,0.306188,,jostnancy,0.621687,,eckert_mark,0.790758
48,lesliegildart,0.252041,,mckeel_tyler,0.306188,,PosingforPink,0.717691,,AADickinsonII,0.306188,,ArriolaAnn,0.761187,,suziart,0.226318
49,StorminatPV,0.475676,,shyeang,0.33423,,MNDFL57,0.793957,,Profess10323912,0.796108,,EdnaKB2,0.923535,,CoreyJohnsonMN,0.659646
50,BradTabke,0.306188,,lashanakit,0.226318,,IndivisibleMN58,0.800879,,WalkMom1,0.226318,,Siobhan62219,0.306188,,LizTrinkle1,0.641418
51,DFL_SD55,0.810078,,speakingout13,0.816204,,ZaxxonGalaxian,0.72871,,AgnesHendryckx,0.691579,,cdmorben,0.659646,,1015_cookie,0.915837
52,VickiMo08056436,0.798312,,sd53dfl,0.793087,,kperrymn,0.659646,,LeechLeacher,0.502712,,StuLourey,0.641418,,KeelytaylorsMOM,0.391215
53,keithellison,0.794672,,ABetterMN,0.738478,,RevRickKing3,0.621687,,EmPaHastings,0.553972,,SweetCainMusic,0.252041,,haldornimrod,0.779581
54,nellep67,0.754621,,GaryLeeThrasher,0.839586,,LillyBu34207537,0.805478,,c_e_jensen,0.705337,,WarrenEducators,0.306188,,HaymanJacob,0.226318
55,Devlin_clark84,0.226318,,TheStreak68,0.306188,,tonyzip7,0.306188,,ABetterMN,0.705337,,PamelaRAasen,0.226318,,celclay,0.779581
56,anesam98,0.798989,,VashtiVale42,0.528866,,dolly_horse,0.577886,,JamesSchanke1,0.793087,,LukeLochbaum,0.833918,,blackholecrap,0.600488
57,Librasoulstress,0.419722,,,,,anneKittenplan,0.676361,,mame62295451,0.553972,,crazylunchguy,0.867011,,crazylunchguy,0.874857
58,zombiedanceprod,0.502712,,,,,anmllvr1970,0.833918,,platogue,0.797376,,kasota_eaton,0.805478,,G_4eal,0.577886
59,MaximoHalty,0.775988,,,,,DaveAronMN,0.502712,,bookcrossingfan,0.717691,,50unique,0.705337,,DSpriggsJks,0.771781
60,Dm7Sandgren,0.33423,,,,,Peridonut1,0.475676,,are_bffs,0.306188,,HallmanSteph,0.447946,,Smudgie_the_cat,0.502712
61,shelleykay2020,0.362645,,,,,deejayedee,0.659646,,jdh_harms,0.798989,,Gard4fam,0.475676,,katien777,0.747083
62,joerice197,0.577886,,,,,MerryJon52,0.789229,,DanPeterson15,0.600488,,laminn,0.676361,,fussytony,0
63,SamwaysLot,0.226318,,,,,LolLioness,0.528866,,mpuxana,0.798989,,KarenWe44853431,0.717691,,kevindienst,0.252041
64,LifeBeyondTv,0.306188,,,,,artsguitarparts,0.782635,,RevRickKing3,0.621687,,GorillaMurphy,0.676361,,CeriEverett,0.391215
65,jarrywaters00,0.676361,,,,,buddybkind,0.782635,,Taylor08536790,0.419722,,PoorPeoplesPets,0.761187,,BeatniksUnite,0.793957
66,Maxwellingson,0.278725,,,,,TerryBurkeMN,0.790758,,LeeTidler,0.775988,,Beth57Mahoney,0.807603,,esocharis,0.252041
67,JonfromDenver,0.391215,,,,,GPill01,0.796859,,ndngenuity,0.600488,,TigermanForever,0.676361,,CazzKat7292,0.33423
68,JordanArthurH,0.754621,,,,,lily_lilyvalle,0.824091,,javiergleddy,0.796599,,WUW53202,0.475676,,ebourquin10,0.362645
69,2antsy,0.447946,,,,,MnPhifer,0.738478,,Kmmn41457539,0.796666,,TylerHamiltonMN,0.705337,,NotAMilkDrinker,0.659646
70,Catdogmom9020,0.33423,,,,,lpcheng,0.306188,,jacstar724,0.252041,,christinakolb,0.226318,,KAllendoerfer,0.278725
71,stitchingart,0.252041,,,,,JohnTip736736,0.824091,,jd2b1999,0.362645,,BlaqueOne1,0.391215,,savvymaed,0.796597
72,DaleTL,0.793957,,,,,jenebene,0.419722,,CynthiaMN5,0.798312,,j94994189,0.785221,,sotisgreen,0.621687
73,fatxiya,0.278725,,,,,JackieLyon20,0.771781,,canogbiz,0.792031,,macchica26,0.807603,,TheMailman48801,0.766876
74,gerrytgnome,0.447946,,,,,Jessica02533128,0.761187,,Judith_FeyJude,0.691579,,CatherineLMN,0.306188,,SharonJ94772600,0.641418
75,TunageMusic,0.72871,,,,,dreamspinner3,0.33423,,carolmque,0.553972,,ZuulHouseRock,0.252041,,DFLsd47,0.72871
76,knlillis,0.306188,,,,,DFLsd47,0.72871,,destroyurego,0.802148,,mickimmiller,0.691579,,trevclayton,0.641418
77,safiakhanmn,0.419722,,,,,PopeDfl,0.80367,,mhassing,0.738478,,Shedrawsnigh,0.252041,,Csax12,0.766876
78,42Lives,0.775988,,,,,sd63dfl,0.747083,,SnowflakeSnark,0.747083,,WhirledCitizen_,0.882963,,Your88moM,0.761187
79,zacharywefel,0.475676,,,,,PMillerMightNot,0.72871,,ginaddict1010,0.771781,,deraptors8,0.252041,,krboss3,0.226318
80,GeoCommonSense,0.747083,,,,,Marcie96879504,0.810078,,PlyMNIndivisibl,0.802148,,derek_m_cross,0.33423,,LC2point0,0
81,AmyDuPontWKBT,0.278725,,,,,Captain_Heck,0.717691,,cindyb1333,0.807603,,sarajalaine,0.226318,,BigBisdotdotdot,0.738478
82,JoeyRobillard,0.226318,,,,,Blue2Feeling,0.72871,,SeritaDTurner,0.747083,,patricksaxton,0.278725,,EmPaHastings,0.447946
83,mwernst5,0.833918,,,,,jmcavaM,0.819914,,Marilou91659237,0.705337,,atempel,0.447946,,thatmags,0.577886
84,abbynormal2020,0.278725,,,,,JJBeez82,0.738478,,TinaFolch,0.621687,,Jack_Smyth97,0.278725,,iloveMantown,0.621687
85,Lindastillwater,0.717691,,,,,Quintus74689745,0.828754,,KoniKodes,0.553972,,daschmidt883,0.502712,,AmyErb2,0.766876
86,PatomUng,0,,,,,candy_hazen,0.475676,,DCBunkerJr,0.796636,,LynneleeRevis,0.659646,,,
87,GragesTyler,0.306188,,,,,yayforhookers,0.33423,,lapa1958,0.72871,,nps_rrt,0.659646,,,
88,Tim_Walz,0.797161,,,,,stitchingart,0.252041,,suefranckel,0.33423,,TeacherMPLS,0.502712,,,
89,krist117,0.553972,,,,,wizoftoz63,0.252041,,,,,,,,,
90,AAAksun,0.796666,,,,,,,,,,,,,,,
91,SenatorPappas,0.641418,,,,,,,,,,,,,,,
92,philnevergiveup,0.528866,,,,,,,,,,,,,,,
93,ericfought,0.252041,,,,,,,,,,,,,,,
94,Presenty914,0.475676,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,
96,Average =,0.52,,Average =,0.55,,Average =,0.65,,Average =,0.64,,Average =,0.55,,Average =,0.56
97,StDev = ,0.25,,StDev = ,0.23,,StDev = ,0.2,,StDev = ,0.17,,StDev = ,0.23,,StDev = ,0.24
98,,,,,,,,,,,,,,,,,
99,*might need to remove non-english ,,,,,,,,,,,,,,,,
100,*score of 0 should be varified,,,,,,,,,,,,,,,,
101,*This is a CAP score or Complete Automated Probability Score,,,,,,,,,,,,,,,,
102,*Tests should be set to 95% conf.,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,
